Title,Total Price,Date Sold,Num Volumes,Price Per Volume,Format,Parse Source,Link
Attack On Titan Hajime Isayama Manga Set 1-34 English Version Comic  FAST DHL,208.88,"Sold  Nov 15, 2024",34,6.14,Lot,Title,https://www.ebay.com/itm/305756500148
ATTACK ON TITAN Manga English Comic Book Volume 1-34 FULL SET (END) - Fast Ship,178.22,"Sold  Apr 5, 2025",34,5.24,Lot,Title,https://www.ebay.com/itm/176286790793
Attack On Titan English Manga Full Set (Volumes 1-34),165.00,"Sold  Apr 4, 2025",34,4.85,Lot,Title,https://www.ebay.com/itm/236037850167
Attack on Titan: Colossal Edition 3 Hajime Isayama Paperback Manga English,29.99,"Sold  Apr 2, 2025",1,29.99,Single,Title,https://www.ebay.com/itm/256878291752
"Attack on Titan: Colossal Edition 4 by Isayama, Hajime Paperback Manga English",24.99,"Sold  Apr 2, 2025",1,24.99,Single,Title,https://www.ebay.com/itm/256878291500
Attack on Titan The Final Season Part 1 Manga Box Set by Hajime Isayama (English,58.75,"Sold  Feb 1, 2025",1,58.75,Single,Title,https://www.ebay.com/itm/365280600476
ATTACK ON TITAN Vol 1-34 Full Set Hajime Isayama Manga English Comic - Fast DHL,178.88,"Sold  Mar 31, 2025",34,5.26,Lot,Title,https://www.ebay.com/itm/176246239795
Assorted English Manga Comic Lot - Anime Paperback Lot of 30 - Attack on Titan .,59.99,"Sold  Mar 30, 2025",1,59.99,Single,Title,https://www.ebay.com/itm/187095072911
Attack on Titan (English Version) Manga by Hajime Isayama Vols. 19-30 paperback,89.00,"Sold  Mar 28, 2025",12,7.42,Lot,Title,https://www.ebay.com/itm/365365365874
Attack On Titan Manga English Volumes 1-10,15.00,"Sold  Mar 27, 2025",10,1.50,Lot,Title,https://www.ebay.com/itm/396355309790
Attack on Titan: Before the Fall (Vol. 1-17) Complete Set Manga English Comic,49.98,"Sold  Mar 27, 2025",17,2.94,Lot,Title,https://www.ebay.com/itm/146369747055
Attack on Titan Manga Volumes 1-8 English,39.99,"Sold  Mar 27, 2025",8,5.00,Lot,Title,https://www.ebay.com/itm/167388624249
Attack On Titan Junior High Manga Vol 1-3 English,14.00,"Sold  Mar 24, 2025",3,4.67,Lot,Title,https://www.ebay.com/itm/365445603160
English Version Attack on Titan Manga Vol 1-17 Not Complete Collection Book Set,111.74,"Sold  Mar 23, 2025",17,6.57,Lot,Title,https://www.ebay.com/itm/176800529825
Attack on Titan: Colossal Edition Volumes 1–7 English Manga Like New,231.97,"Sold  Mar 22, 2025",2,115.98,Lot,Title,https://www.ebay.com/itm/116494996328
Attack On Titan English Manga Volume 3 5 6 & 7 Kodansha Comics Set,9.97,"Sold  Mar 21, 2025",4,2.49,Lot,Title,https://www.ebay.com/itm/297110290081
Attack On Titan Manga English Set 1-7 Hajime Isayama AoT Kodansha 2012,30.00,"Sold  Mar 20, 2025",7,4.29,Lot,Title,https://www.ebay.com/itm/305105415350
Attack On Titan Manga Lot English 12 Books- Hajime Isayama,39.99,"Sold  Mar 20, 2025",1,39.99,Single,Title,https://www.ebay.com/itm/285127444850
Attack on Titan Manga Volume 1-19 English (18 special edition) Lot,74.99,"Sold  Mar 19, 2025",19,3.95,Lot,Title,https://www.ebay.com/itm/116505272740
Attack On Titan Complete Manga Volumes 1-34 English with 2 BONUS Japan Manga,180.00,"Sold  Mar 18, 2025",34,5.29,Lot,Title,https://www.ebay.com/itm/335813245292
NEW ATTACK ON TITAN Volume 1-34 Full Set Hajime Isayama Manga English Comic,189.00,"Sold  Mar 18, 2025",34,5.56,Lot,Title,https://www.ebay.com/itm/134055611871
"Attack on Titan Manga 5,8-12,16 Kodansha Comics 2012 English- Good Condition",19.99,"Sold  Mar 16, 2025",7,2.86,Lot,Title,https://www.ebay.com/itm/387701929284
Manga Lot of 25 Books Viz Media Shonen Attack on Titan Dramacon Pokemon English,43.00,"Sold  Mar 16, 2025",1,43.00,Single,Title,https://www.ebay.com/itm/276938538080
Attack on Titan Vol 4 Manga Anime Book Kodansha Teen+ English Hajime Isayama,5.80,"Sold  Mar 16, 2025",1,5.80,Single,Title,https://www.ebay.com/itm/396079716872
Attack on Titan English Manga Lot 2-15 Hijime Isajama,44.99,"Sold  Mar 13, 2025",14,3.21,Lot,Title,https://www.ebay.com/itm/326219686311
Attack on Titan Manga Volume 1-5 Kodansha Comics Hajime Isayama English Set,25.95,"Sold  Mar 12, 2025",5,5.19,Lot,Title,https://www.ebay.com/itm/156771995132
Attack on Titan Season 1 Part 1 Vol 1-4 Manga Box Set - English NEW/SEALED,23.99,"Sold  Mar 10, 2025",4,6.00,Lot,Title,https://www.ebay.com/itm/126652507936
Attack On Titan Season 1 Part 2 by Hajime Isayama - English Manga Box Set - VG,21.00,"Sold  Mar 10, 2025",2,10.50,Lot,Title,https://www.ebay.com/itm/116374860036
Attack on Titan English and Japanese bilingual 1-4 set  Manga Comics Book F/S,79.98,"Sold  Mar 9, 2025",4,20.00,Lot,Title,https://www.ebay.com/itm/234384879531
Attack On Titan Complete Manga - Volumes 1-34 English With EXTRAS,175.00,"Sold  Mar 9, 2025",34,5.15,Lot,Title,https://www.ebay.com/itm/205311658330
Attack on Titan Manga Volumes 1-18 English,75.00,"Sold  Mar 8, 2025",18,4.17,Lot,Title,https://www.ebay.com/itm/146331445127
attack on titan manga 1-7 English,40.00,"Sold  Mar 6, 2025",7,5.71,Lot,Title,https://www.ebay.com/itm/356236649262
Attack On Titan Volumes 33 & 34 - Final 2 Volumes - Hajime Isayama Manga English,27.17,"Sold  Mar 6, 2025",3,9.06,Lot,Title,https://www.ebay.com/itm/395799274284
Attack On Titan No Regrets Manga Volumes 1 & 2 English,10.00,"Sold  Mar 3, 2025",2,5.00,Lot,Title,https://www.ebay.com/itm/134972341058
Attack on Titan Manga Volumes 1-34 Complete English,170.00,"Sold  Mar 2, 2025",34,5.00,Lot,Title,https://www.ebay.com/itm/226605794687
Attack On Titan Manga Lot English 22 Pieces (Special Editions),50.00,"Sold  Feb 27, 2025",1,50.00,Single,Title,https://www.ebay.com/itm/156721393253
Attack on titan Before the Fall 1-17 New English Manga 10,168.15,"Sold  Feb 27, 2025",17,9.89,Lot,Title,https://www.ebay.com/itm/125461156367
Attack On Titan Manga Vol. 34 by Hajime Isayama English Manga,5.00,"Sold  Feb 26, 2025",1,5.00,Single,Title,https://www.ebay.com/itm/186919161681
Attack on Titan Volume 22 Manga Book Hajime Isayama TPB English Kodansha Comics,6.00,"Sold  Feb 26, 2025",1,6.00,Single,Title,https://www.ebay.com/itm/286212560440
"Attack on Titan Manga (English) - Volumes 29-34, No Regrets And Encyclopedia",15.00,"Sold  Feb 25, 2025",6,2.50,Lot,Title,https://www.ebay.com/itm/405560838273
Attack on Titan Vol 13-17 Box Set Used English Manga Graphic Novel Comic Book,20.99,"Sold  Feb 24, 2025",5,4.20,Lot,Title,https://www.ebay.com/itm/316312626564
Attack on Titan Before The Fall Manga volumes 1-4 English,22.00,"Sold  Feb 24, 2025",4,5.50,Lot,Title,https://www.ebay.com/itm/176804269533
Shingeki no Kyojin Attack on Titan English Manga Vol. 1-3 Paperback Books,18.00,"Sold  Feb 20, 2025",3,6.00,Lot,Title,https://www.ebay.com/itm/256756008711
Attack on Titan Season 1 Part 1 Vol 1-4 Manga Box Set - English NEW/SEALED,25.00,"Sold  Feb 20, 2025",4,6.25,Lot,Title,https://www.ebay.com/itm/316147509232
Attack on Titan The Final Season Part 1 Manga Box Set - English,34.99,"Sold  Feb 19, 2025",1,34.99,Single,Title,https://www.ebay.com/itm/316162551697
NEW ATTACK ON TITAN (Vol 1-34) Full Set Hajime Isayama Manga English Comic,250.00,"Sold  Feb 18, 2025",34,7.35,Lot,Title,https://www.ebay.com/itm/395941231051
"ENGLISH MANGA: Attack on Titan Vol. 1,2,4,5,9,11,12 Manga LOT -Paperback",16.24,"Sold  Feb 14, 2025",7,2.32,Lot,Title,https://www.ebay.com/itm/335516820489
Attack On Titan Complete Manga Box Sets  Volumes 1-34 English,240.00,"Sold  Feb 12, 2025",34,7.06,Lot,Title,https://www.ebay.com/itm/176806011825
Attack On Titan Before the Fall Manga English Volumes 1-5 Set Lot of 5 books,29.99,"Sold  Feb 11, 2025",5,6.00,Lot,Title,https://www.ebay.com/itm/166140604264
Attack on Titan Manga (English) Bulk Lot 60 Volumes,185.13,"Sold  Feb 11, 2025",1,185.13,Single,Title,https://www.ebay.com/itm/286302028398
