Title,Total Price,Date Sold,Num Volumes,Price Per Volume,Format,Parse Source,Link
Death Note Black Edition Vol 3 [MANGA/ENGLISH] [USED/GOOD] Paperback. Teen+,10.00,"Sold  Apr 6, 2025",1,10.00,Single,Title,https://www.ebay.com/itm/306214218206
Death Note Vol 1-13 English Language Manga Complete Set Of 13 Paperback/Hardback,42.99,"Sold  Apr 4, 2025",13,3.31,Lot,Title,https://www.ebay.com/itm/226675178390
Death Note The Complete Manga Box Set Vol 1-12 + 13 & Booklet English,89.99,"Sold  Apr 4, 2025",13,6.92,Lot,Title,https://www.ebay.com/itm/176967626234
12× DEATH NOTE Manga Volumes 1-12 Complete Set English Exc Condition,64.95,"Sold  Jan 16, 2025",12,5.41,Lot,Title,https://www.ebay.com/itm/396076341517
Death Note The Complete Manga Box Set Vol 1-12 + 13 & Booklet English,70.00,"Sold  Mar 31, 2025",13,5.38,Lot,Title,https://www.ebay.com/itm/306178283488
Death Note The Complete Manga Box Set Vol 1-12 + 13 & Booklet English,67.99,"Sold  Mar 30, 2025",13,5.23,Lot,Title,https://www.ebay.com/itm/197150025629
Death Note Manga Volumes 1-6 by Ohba/Obata English Book Bundle Lot Viz Media,18.99,"Sold  Mar 29, 2025",6,3.16,Lot,Title,https://www.ebay.com/itm/256764231197
"Death Note Vol 1, 2, 3, 4, 6 Ohiba / Obata Manga Book Lot English",19.99,"Sold  Mar 29, 2025",5,4.00,Lot,Title,https://www.ebay.com/itm/396235251983
Viz DEATH NOTE: BLACK EDITION English Set Volumes 1 - 3 Manga Anime Books Lot,15.50,"Sold  Mar 29, 2025",3,5.17,Lot,Title,https://www.ebay.com/itm/405685313469
"Death Note Manga Complete Set Volumes 1-12 English Tsugumi Ohba, Takeshi Obata",55.00,"Sold  Mar 26, 2025",12,4.58,Lot,Title,https://www.ebay.com/itm/405677038611
Death Note The Complete Manga Box Set Vol 1-12 + 13 & Booklet English,79.99,"Sold  Mar 25, 2025",13,6.15,Lot,Title,https://www.ebay.com/itm/396354787144
"Death Note Vols #5,7-12 by Ohba/Obata English Manga 7 Book Lot DEATH NOTE",11.97,"Sold  Mar 25, 2025",7,1.71,Lot,Title,https://www.ebay.com/itm/386605061935
death note manga English Vol 1-5,25.00,"Sold  Mar 23, 2025",5,5.00,Lot,Title,https://www.ebay.com/itm/127005887160
"Death Note English Manga Lot Volume 5, 8, 10 Tsugumi Ohba Viz Media Paperback",12.00,"Sold  Mar 23, 2025",3,4.00,Lot,Title,https://www.ebay.com/itm/226571755090
Death Note English Manga Black Edition Vol 1-6 and Death Note Short Stories,60.00,"Sold  Mar 23, 2025",6,10.00,Lot,Title,https://www.ebay.com/itm/276957964122
DEATH NOTE Manga Graphic Novels Vol 1-12 Complete Set ENGLISH Lot Books,55.00,"Sold  Mar 22, 2025",12,4.58,Lot,Title,https://www.ebay.com/itm/326428732607
Death Note Complete Box Set Vol. 1-13 (Includes How To Read) Manga English Obata,80.00,"Sold  Mar 15, 2025",13,6.15,Lot,Title,https://www.ebay.com/itm/267188506048
"Lot Of 4 Manga English, DEATH NOTE, HITOHIRA, NABI, FULL MOON - All Volume 1",8.99,"Sold  Mar 13, 2025",2,4.50,Lot,Title,https://www.ebay.com/itm/396308300386
"Death Note - The Complete Manga Box Set, Vol 1-12 + 13. [English]",71.00,"Sold  Mar 13, 2025",13,5.46,Lot,Title,https://www.ebay.com/itm/135602887640
DEATH NOTE Manga Series Lot 1-13 English VIZ + Bonus Short Stories+ L Books,60.00,"Sold  Mar 9, 2025",13,4.62,Lot,Title,https://www.ebay.com/itm/387779291066
Death Note Black Edition Manga Volumes 1-6 English Authentic Viz Media,65.00,"Sold  Mar 3, 2025",6,10.83,Lot,Title,https://www.ebay.com/itm/375995026234
Death Note Manga Set Vol 2-11 ENGLISH VIZ Media - Free Shipping!,44.99,"Sold  Feb 26, 2025",10,4.50,Lot,Title,https://www.ebay.com/itm/326444354117
"Death Note - The Complete Manga Box Set, Vol 1-12 + 13. [English] BRAND NEW",99.95,"Sold  Feb 26, 2025",13,7.69,Lot,Title,https://www.ebay.com/itm/235974642844
DEATH NOTE Manga Series Lot of 7 (#1-7) Set English Language Books Tsugumi Ohba,29.99,"Sold  Feb 23, 2025",7,4.28,Lot,Title,https://www.ebay.com/itm/196332583474
DEATH NOTE Complete Box Set Vol. 1-12 + 13 English Manga RARE NEW!,120.00,"Sold  Feb 20, 2025",13,9.23,Lot,Title,https://www.ebay.com/itm/297007824594
Death Note Volume 8 English Manga 1st First Print 2006 RARE Free Shipping!,14.99,"Sold  Feb 18, 2025",1,14.99,Single,Title,https://www.ebay.com/itm/204224462685
Death Note The Complete Manga Box Set Vol 1-12 + 13 & Booklet English,80.00,"Sold  Feb 17, 2025",13,6.15,Lot,Title,https://www.ebay.com/itm/396184423020
Lot DEATH NOTE Manga Graphic Novels Vol 1-13 ENGLISH Takeshi Obata⅙,60.00,"Sold  Feb 17, 2025",13,4.62,Lot,Title,https://www.ebay.com/itm/267141996415
Death Note Black Edition -English Manga Series Books 1-5 Paperback- See Pictures,50.00,"Sold  Feb 15, 2025",5,10.00,Lot,Title,https://www.ebay.com/itm/167294862016
Lot 2 Death Note Black Edition Manga Novels Books I and II English Soft  Books,9.00,"Sold  Feb 14, 2025",1,9.00,Single,Title,https://www.ebay.com/itm/156085796422
Death Note English Manga 1-13 Complete,80.00,"Sold  Feb 14, 2025",13,6.15,Lot,Title,https://www.ebay.com/itm/116450861390
Death Note Complete Box Set Vol 1-12 **NO #13 or Booklet** English Manga Viz,50.00,"Sold  Feb 13, 2025",13,3.85,Lot,Title,https://www.ebay.com/itm/226585935560
"DEATH NOTE Manga Series Lot 1,2,3,5,6,7,9,10,11 English Lot Of 9 Ex-Library",19.95,"Sold  Feb 13, 2025",9,2.22,Lot,Title,https://www.ebay.com/itm/235926038373
Death Note Black Edition Paperback 1-6 English Version Manga Anime,57.95,"Sold  Feb 11, 2025",6,9.66,Lot,Title,https://www.ebay.com/itm/146372308912
Death Note Lot of 3 by Ohba/Obata English Manga Book Bundle 1 3 & 4 PB,12.99,"Sold  Feb 7, 2025",3,4.33,Lot,Title,https://www.ebay.com/itm/155849305083
DEATH NOTE English MANGA COMPLETE SET vol. 1 - 12 brand new from Viz,116.10,"Sold  Feb 7, 2025",12,9.67,Lot,Title,https://www.ebay.com/itm/295283549683
