Title,Total Price,Date Sold,Num Volumes,Price Per Volume,Format,Parse Source,Link
Hunter X Hunter Manga Books Vol. 1-13 English,79.99,"Sold  Mar 28, 2025",13,6.15,Lot,Title,https://www.ebay.com/itm/197144573429
Hunter x Hunter (English) by Yoshihiro Togashi Manga Vol. 1-4,24.99,"Sold  Mar 22, 2025",4,6.25,Lot,Title,https://www.ebay.com/itm/167392668554
HUNTER X HUNTER MANGA VOL.1-8 ENGLISH VERSION COMIC COMPLETE/LOOSE/SINGLE SET,19.99,"Sold  Mar 19, 2025",8,2.50,Lot,Title,https://www.ebay.com/itm/388036991723
Hunter x Hunter Manga Complete Set Volumes 1-37 Viz English,250.00,"Sold  Mar 13, 2025",37,6.76,Lot,Title,https://www.ebay.com/itm/116507817238
HUNTER X HUNTER English Manga LOT 1-14 Volume Viz YOSHIHIRO TOGASHI,89.99,"Sold  Mar 8, 2025",14,6.43,Lot,Title,https://www.ebay.com/itm/286387873982
Hunter x Hunter: Volumes 1-2 English Set Manga,11.99,"Sold  Mar 7, 2025",2,6.00,Lot,Title,https://www.ebay.com/itm/135532477168
"Hunter x Hunter, Vol. 1-4 by Yoshihiro Togashi Manga Anime Book Lot English",22.00,"Sold  Mar 1, 2025",4,5.50,Lot,Title,https://www.ebay.com/itm/286248330271
Hunter X Hunter - By Yoshihiro Togashi - Volume 6 - Manga Comic Book - English,7.00,"Sold  Feb 28, 2025",1,7.00,Single,Title,https://www.ebay.com/itm/203778751235
Hunter x Hunter Vol 4 Used English Manga Graphic Novel Comic Book,6.99,"Sold  Feb 26, 2025",1,6.99,Single,Title,https://www.ebay.com/itm/316312626940
Hunter X Hunter Manga English Vol.4 ShonenJump,9.50,"Sold  Feb 26, 2025",1,9.50,Single,Title,https://www.ebay.com/itm/356504556336
Manga Lot English Anime Hunter x Hunter Full Metal Alchemist .Hack Megatokyo 28,59.99,"Sold  Feb 25, 2025",1,59.99,Single,Title,https://www.ebay.com/itm/316380844733
Hunter X Hunter Manga English Vol.3 -ShonenJump,9.50,"Sold  Feb 22, 2025",1,9.50,Single,Title,https://www.ebay.com/itm/356504554531
Hunter x Hunter Volume 1-36 Complete English Manga Set,340.00,"Sold  Feb 21, 2025",36,9.44,Lot,Title,https://www.ebay.com/itm/387822500072
First Edition Hunter x Hunter Volume 32 by Yoshihiro Togashi Manga English 2014,14.72,"Sold  Feb 21, 2025",1,14.72,Single,Title,https://www.ebay.com/itm/276827029541
Hunter X Hunter Volume 1-36 English Manga Set Series,300.00,"Sold  Feb 20, 2025",36,8.33,Lot,Title,https://www.ebay.com/itm/326446110068
HUNTER x HUNTER #1-12 Japanese Manga Books (Yoshihiro Togashi; English) - EUC,80.00,"Sold  Feb 18, 2025",12,6.67,Lot,Title,https://www.ebay.com/itm/196953166831
Hunter X Hunter Volume 17 English Language Manga - New Book,9.99,"Sold  Feb 17, 2025",1,9.99,Single,Title,https://www.ebay.com/itm/195807063687
"Hunter x Hunter Volume 1-10,12,14-18,24,25,27,35,36 English Manga lot GREAT COND",149.99,"Sold  Feb 13, 2025",21,7.14,Lot,Title,https://www.ebay.com/itm/375969469523
"Hunter x Hunter Volume 34 (Manga, English, VIZ Media)",7.99,"Sold  Feb 11, 2025",1,7.99,Single,Title,https://www.ebay.com/itm/326412822661
Hunter X Hunter Manga Volumes 1-6 English Yoshihiro Togashi Shonen Jump Viz,37.99,"Sold  Feb 10, 2025",6,6.33,Lot,Title,https://www.ebay.com/itm/126933830769
Hunter X Hunter Manga Volumes 1-6 English Yoshihiro Togashi Shonen Jump Viz,29.94,"Sold  Feb 5, 2025",6,4.99,Lot,Title,https://www.ebay.com/itm/286274733461
Hunter X Hunter Manga English Vol.2 -ShonenJump,9.50,"Sold  Feb 3, 2025",1,9.50,Single,Title,https://www.ebay.com/itm/356504552920
Hunter x Hunter: Volumes 1-16 English Set Manga,100.00,"Sold  Feb 3, 2025",16,6.25,Lot,Title,https://www.ebay.com/itm/135527192589
"Hunter x Hunter Manga Volumes 1-32,34-37 NOT a Complete Set English 36 Volumes",395.10,"Sold  Feb 2, 2025",36,10.98,Lot,Title,https://www.ebay.com/itm/296929588738
"Manga Hunter x Hunter: Volumes 1-13, 15 English Set  (Free Ship!)",100.00,"Sold  Jan 28, 2025",14,7.14,Lot,Title,https://www.ebay.com/itm/316142558395
Hunter x Hunter: Volumes 1-16 English Set Manga,100.00,"Sold  Jan 26, 2025",16,6.25,Lot,Title,https://www.ebay.com/itm/146340144524
Hunter X Hunter Manga Vol. 8 (VIZ Media) English,6.81,"Sold  Jan 21, 2025",1,6.81,Single,Title,https://www.ebay.com/itm/186636663065
"Hunter x Hunter, by Yoshihiro Togashi Manga Anime 9 Book Lot English",35.00,"Sold  Jan 19, 2025",1,35.00,Single,Title,https://www.ebay.com/itm/226505368226
Hunter x Hunter Vol. 1 Manga - Japanese Language Edition (NOT English),9.99,"Sold  Jan 19, 2025",1,9.99,Single,Title,https://www.ebay.com/itm/316098600098
Hunter x Hunter Volume 1-36 Complete English Manga Set,385.00,"Sold  Jan 10, 2025",36,10.69,Lot,Title,https://www.ebay.com/itm/405459117735
