Title,Total Price,Date Sold,Num Volumes,Price Per Volume,Format,Parse Source,Link
My Hero Academia Vigilantes Vol. 1-9 English Manga Book Lot,35.00,"Sold  Apr 7, 2025",9,3.89,Lot,Title,https://www.ebay.com/itm/156778672968
My Hero Academia English Manga Lot Of 4 Books Volume 1 - 4,21.14,"Sold  Apr 7, 2025",4,5.29,Lot,Title,https://www.ebay.com/itm/316589183982
My Hero Academia Manga Box Set 1 Vol 1-20 English Brand New Sealed Viz Media,80.99,"Sold  Apr 5, 2025",20,4.05,Lot,Title,https://www.ebay.com/itm/286454163700
"My Hero Academia Manga Set Vol 1-40, English, Viz Media",157.50,"Sold  Apr 5, 2025",40,3.94,Lot,Title,https://www.ebay.com/itm/256877386678
Vol. 1-10 My Hero Academia Manga Lot English Version Kohei Horikoshi,29.00,"Sold  Mar 18, 2025",10,2.90,Lot,Title,https://www.ebay.com/itm/388102947818
My Hero Academia English Manga PB Books Lot Of 10 - Vol 1 - 10,30.00,"Sold  Apr 4, 2025",10,3.00,Lot,Title,https://www.ebay.com/itm/365483363147
My Hero Academia Manga English Volumes 1-15 ~ 15 Book Set,29.00,"Sold  Apr 3, 2025",15,1.93,Lot,Title,https://www.ebay.com/itm/396313403609
My Hero Academia Vol 4 English Manga Kohei Horikoshi Shonen Jump Viz Media,6.00,"Sold  Dec 21, 2024",1,6.00,Single,Title,https://www.ebay.com/itm/115675069546
My Hero Academia  Manga Volumes : 1 - 6 Boku No Hero Academia: English,8.00,"Sold  Apr 3, 2025",6,1.33,Lot,Title,https://www.ebay.com/itm/326403327475
my hero academia manga lot english 1-31,100.00,"Sold  Apr 2, 2025",31,3.23,Lot,Title,https://www.ebay.com/itm/297152501575
My Hero Academia Manga Lot Volumes 1-4 (English),13.36,"Sold  Apr 2, 2025",4,3.34,Lot,Title,https://www.ebay.com/itm/316509414102
My Hero Academia Vol. World Heroes Mission The Movie Manga Comic Book English,6.99,"Sold  Apr 1, 2025",1,6.99,Single,Description,https://www.ebay.com/itm/326311814385
My Hero Academia Manga 12 Book Lot (Volumes 4 through 15) English,33.99,"Sold  Apr 1, 2025",3,11.33,Lot,Title,https://www.ebay.com/itm/286427802778
My Hero Academia Manga Box Set 1 Vol 1-20 English Brand New Sealed Viz Media,51.00,"Sold  Mar 31, 2025",20,2.55,Lot,Title,https://www.ebay.com/itm/297146060361
My Hero Academia Volumes 1-10 Lot of 10 Books Superhero Manga English Paperbacks,34.00,"Sold  Mar 30, 2025",10,3.40,Lot,Title,https://www.ebay.com/itm/235983541768
My Hero Academia Vigilantes Manga Vol 1-15 English Viz Media Complete Set New,143.10,"Sold  Mar 30, 2025",15,9.54,Lot,Title,https://www.ebay.com/itm/235988071037
My Hero Academia Manga Box Set 1 Vol 1-20 English Brand New Opened Viz Media,83.95,"Sold  Mar 29, 2025",20,4.20,Lot,Title,https://www.ebay.com/itm/176859083634
My Hero Academia Manga Volume 1-36 ENGLISH Set VIZ MEDIA,175.00,"Sold  Mar 29, 2025",36,4.86,Lot,Title,https://www.ebay.com/itm/356702234023
My Hero Academia MANGA Vol 35  36  LOT MINT VIZ MEDIA Shonen JUMP 1st English,14.99,"Sold  Mar 28, 2025",2,7.50,Lot,Title,https://www.ebay.com/itm/316515761108
My Hero Academia Manga Box Set 1 Vol 1-20 English Sealed Viz Media,80.00,"Sold  Mar 28, 2025",20,4.00,Lot,Title,https://www.ebay.com/itm/306131603803
My Hero Academia | English Manga Lot of 12 Books (Vol 13-23 & Vigilantes Vol 1),18.95,"Sold  Mar 28, 2025",13,1.46,Lot,Title,https://www.ebay.com/itm/316525407835
My Hero Academia Vol 1 Manga Scholastic Variant Edition English Alternate Cover,6.00,"Sold  Mar 26, 2025",1,6.00,Single,Title,https://www.ebay.com/itm/135572204547
My Hero Academia Vigilantes Manga Lot Volumes 1-6 English,39.99,"Sold  Mar 25, 2025",6,6.67,Lot,Title,https://www.ebay.com/itm/156758179791
My Hero Academia Manga Vols 1-31 English Kohei Horikoshi Viz Media Shonen Jump,165.00,"Sold  Mar 23, 2025",31,5.32,Lot,Title,https://www.ebay.com/itm/396253799855
My Hero Academia Manga English LOT Volumes 1-15 SEALED Brand New | 15 Book Set,76.00,"Sold  Mar 22, 2025",15,5.07,Lot,Title,https://www.ebay.com/itm/186843419751
My Hero Academia Smash!! 1-5 Complete Set Manga New English 10,44.96,"Sold  Mar 22, 2025",6,7.49,Lot,Title,https://www.ebay.com/itm/115604358771
My Hero Academia Manga Books Volume 1-7 English Paperback Books Anime,24.49,"Sold  Mar 22, 2025",7,3.50,Lot,Title,https://www.ebay.com/itm/356499066924
"My Hero Academia English Manga Lot Of 8 PB Books Vol. 1-5, 8  & 9",23.00,"Sold  Mar 22, 2025",7,3.29,Lot,Title,https://www.ebay.com/itm/176519136093
My Hero Academia Vol. 19 English Manga By Kohei Horikoshi Brand New,8.00,"Sold  Mar 21, 2025",1,8.00,Single,Title,https://www.ebay.com/itm/353933242321
My Hero Academia Vigilantes Manga Vol 1-15 English Viz Media Complete,110.00,"Sold  Mar 21, 2025",15,7.33,Lot,Title,https://www.ebay.com/itm/365444175678
My Hero Academia Manga Volume 1-36 ENGLISH Set VIZ MEDIA,179.91,"Sold  Mar 20, 2025",36,5.00,Lot,Title,https://www.ebay.com/itm/365465964896
MY HERO ACADEMIA- SCHOOL BRIEFS Manga Set Lot 1-4 English VGC,10.00,"Sold  Mar 19, 2025",4,2.50,Lot,Title,https://www.ebay.com/itm/176523718442
My Hero Academia (BNHA/MHA) SMASH!! Manga Books Volumes 3 4 5 English,16.00,"Sold  Mar 19, 2025",3,5.33,Lot,Title,https://www.ebay.com/itm/396098334458
Manga English My Hero Academia Volume 1-3  MHA Book Lot Viz Media Shonen Jump,15.00,"Sold  Mar 17, 2025",3,5.00,Lot,Title,https://www.ebay.com/itm/305286430966
My Hero Academia Manga Box Set 1 Vol 1-20 English Viz Media,68.75,"Sold  Mar 14, 2025",20,3.44,Lot,Title,https://www.ebay.com/itm/167374263928
My Hero Academia Lot Vol. 1-3 ( Volume 1 2 3) Manga English Shonen Jump Comics,5.95,"Sold  Mar 13, 2025",3,1.98,Lot,Title,https://www.ebay.com/itm/176883634241
My Hero Academia | English Manga Lot of 20 Books | Kohei Horikoshi,59.95,"Sold  Mar 13, 2025",1,59.95,Single,Title,https://www.ebay.com/itm/187035667199
My Hero Academia Manga Volumes 1-35 Brand New English Authentic Viz Media,315.00,"Sold  Nov 25, 2024",35,9.00,Lot,Title,https://www.ebay.com/itm/126199009864
My Hero Academia Manga English Volumes 1-15 ~ 15 Book Set,50.00,"Sold  Mar 10, 2025",15,3.33,Lot,Title,https://www.ebay.com/itm/235921849080
12 Book Lot: My Hero Academia Vigilantes School Briefs English Manga - Horikoshi,25.00,"Sold  Mar 7, 2025",1,25.00,Single,Title,https://www.ebay.com/itm/116495428483
Manga English My Hero Academia 4 5 9 10 11 12 Kohei Horikoshi MHA Book Lot NEW,29.99,"Sold  Mar 4, 2025",6,5.00,Lot,Title,https://www.ebay.com/itm/176866376790
Manga Lot: My Hero Academia Volumes 1-10 ENGLISH,25.00,"Sold  Mar 3, 2025",10,2.50,Lot,Title,https://www.ebay.com/itm/205313820071
My Hero Academia English Manga Vol 1-5 Kohei Horikoshi Manga Fantasy YA Comic VG,31.88,"Sold  Mar 3, 2025",5,6.38,Lot,Title,https://www.ebay.com/itm/335435084176
My Hero Academia Manga English Volumes 1-38 + Bonus! Never Read!,175.00,"Sold  Mar 3, 2025",38,4.61,Lot,Title,https://www.ebay.com/itm/135491328558
My Hero Academia Vol. 13 English Manga By Kohei Horikoshi Brand New,8.00,"Sold  Mar 1, 2025",1,8.00,Single,Title,https://www.ebay.com/itm/353933238460
My Hero Academia Vigilantes Manga Lot Volumes 1-4 English mn4138,19.92,"Sold  Mar 2, 2025",4,4.98,Lot,Title,https://www.ebay.com/itm/256619678187
My Hero Academia Volume 2-7 Kohei Horikoshi English Manga Shonen Jump Lot,30.00,"Sold  Mar 1, 2025",6,5.00,Lot,Title,https://www.ebay.com/itm/405457164699
My Hero Academia Vigilantes Manga Vol 6-11  English Ex-Library all 1st printing,28.00,"Sold  Feb 26, 2025",6,4.67,Lot,Title,https://www.ebay.com/itm/176839452172
My Hero Academia Manga Box Set 1 Vol 1-20 English Brand New Sealed Viz Media,100.00,"Sold  Feb 25, 2025",20,5.00,Lot,Title,https://www.ebay.com/itm/226538192934
"My Hero Academia English Manga Lot Of 5 Books Volume 26,27,28,29,30",21.00,"Sold  Feb 25, 2025",6,3.50,Lot,Title,https://www.ebay.com/itm/167107671935
My Hero Academia Manga Lot Volumes 1-38 Complete Set English Viz Media,220.00,"Sold  Feb 25, 2025",38,5.79,Lot,Title,https://www.ebay.com/itm/396135362276
My Hero Academia Manga Volumes 1-30 English  Version VIZ Anime,22.50,"Sold  Feb 24, 2025",30,0.75,Lot,Title,https://www.ebay.com/itm/205298991862
My Hero Academia Volumes 1-21 | English Manga Lot of 21 Books | Kohei Horikoshi,79.99,"Sold  Feb 24, 2025",21,3.81,Lot,Title,https://www.ebay.com/itm/126859717430
Vol.1-10 My Hero Academia Manga English Version Kohei Horikoshi,27.66,"Sold  Feb 22, 2025",10,2.77,Lot,Title,https://www.ebay.com/itm/156704728465
My Hero Academia MHA English Manga Volumes 15 16 17 18 22 Kohei Horikoshi VIZ SJ,17.99,"Sold  Feb 19, 2025",5,3.60,Lot,Title,https://www.ebay.com/itm/167187978806
