Title,Total Price,Date Sold,Num Volumes,Price Per Volume,Format,Parse Source,Link
Naruto Manga Box Set 3 Vol. 49-72 English Shonen Jump Complete In Box,105.00,"Apr 16, 2025",25,4.20,Lot,Title,https://www.ebay.com/itm/226645268940
Naruto English Manga Box Sets 1 And 2,250.00,"Apr 16, 2025",2,125.00,Lot,Title,https://www.ebay.com/itm/235942322778
Naruto Manga COMPLETE COLLECTION English - Volumes 1-72,410.00,"Apr 15, 2025",72,5.69,Lot,Title,https://www.ebay.com/itm/396167581035
Naruto Manga COMPLETE COLLECTION English - Volumes 1-72,372.50,"Apr 14, 2025",72,5.17,Lot,Title,https://www.ebay.com/itm/365496416762
Boruto: Naruto Next Generation Manga Vol. 1-7 - English - Never Read!,25.00,"Apr 13, 2025",7,3.57,Lot,Title,https://www.ebay.com/itm/135502320588
"Naruto Manga Graphic Novels, Lot of 9 Volumes, English Versions, Kishimoto",12.99,"Apr 13, 2025",1,12.99,Single,Title,https://www.ebay.com/itm/376152155801
Boruto Naruto next Generation English Manga Vol 1-20+ Two Vortex New Viz Media,199.00,"Apr 12, 2025",20,9.95,Lot,Title,https://www.ebay.com/itm/297198540365
Naruto Box Set 1 (Vol.1-27 Manga English),100.00,"Apr 12, 2025",27,3.70,Lot,Title,https://www.ebay.com/itm/356741931728
"Naruto Manga COMPLETE English - Volumes 1-72 Plus Bonus Stories, Boruto 1-18",499.99,"Apr 11, 2025",72,6.94,Lot,Title,https://www.ebay.com/itm/205340783752
Naruto Manga English Lot of 7 Book Shonen Jump Masashi Kishimoto,29.99,"Apr 11, 2025",1,29.99,Single,Title,https://www.ebay.com/itm/187077041348
Naruto Full English Manga Set (Vol. 1 To 56).,149.99,"Apr 11, 2025",2,75.00,Lot,Title,https://www.ebay.com/itm/365431080059
Naruto Manga Volumes 28-72 Shonen Jump ENGLISH Viz Media Japanese Anime Comic,225.00,"Apr 9, 2025",45,5.00,Lot,Title,https://www.ebay.com/itm/226688321882
"Naruto Manga Graphic Novels, Lot of 9 Volumes, English Versions, Kishimoto",12.99,"Apr 9, 2025",1,12.99,Single,Title,https://www.ebay.com/itm/376149555233
Naruto Manga 1-72 (Entire English Box Set) + Bonus Story,300.00,"Apr 4, 2025",72,4.17,Lot,Title,https://www.ebay.com/itm/167381418173
Naruto Manga Box Set 2 Volumes 28-48 With Mini Comic English Sealed,115.20,"Apr 4, 2025",22,5.24,Lot,Title,https://www.ebay.com/itm/364057426731
Naruto English Manga Vol. 31 by Masashi Kishimoto(Sealed),25.00,"Apr 1, 2025",1,25.00,Single,Title,https://www.ebay.com/itm/124916150906
"Naruto Masashi Kishimoto Manga English Lot of 8 Vol 14,17,22,27,28,36,41,47",30.00,"Mar 31, 2025",9,3.33,Lot,Title,https://www.ebay.com/itm/176633469137
Naruto Manga Complete Set English 1-72,265.00,"Mar 30, 2025",72,3.68,Lot,Title,https://www.ebay.com/itm/187079226928
Naruto Shonen Jump Manga Lot8 Vol. 19-27 English Graphic Novel Masashi Kishimoto,33.99,"Mar 30, 2025",9,3.78,Lot,Title,https://www.ebay.com/itm/356665037022
Naruto Part 1 English Manga Volumes 1 - 27 plus bonus by Masashi Kishimoto,30.00,"Mar 30, 2025",27,1.11,Lot,Title,https://www.ebay.com/itm/197160114110
Naruto Shippuden English Manga Volumes 28 - 52 plus bonus by Masashi Kishimoto,30.00,"Mar 30, 2025",25,1.20,Lot,Title,https://www.ebay.com/itm/197160135399
Naruto English Manga Volumes 1-3 + 31-72 Ex Library Books Shonen Jump Kishimoto,72.00,"Mar 26, 2025",45,1.60,Lot,Title,https://www.ebay.com/itm/135637551212
Naruto Manga Box Set 3 Vol. 49-72 English Shonen Jump Complete In Box,82.00,"Mar 26, 2025",25,3.28,Lot,Title,https://www.ebay.com/itm/205363897219
Naruto Manga Box Set 2 Volumes 28-48 With Mini Comic English Sealed,110.00,"Mar 26, 2025",22,5.00,Lot,Title,https://www.ebay.com/itm/306131235987
