Title,Total Price,Date Sold,Num Volumes,Price Per Volume,Format,Parse Source,Link
One Piece CCG Nami OP01-016 Rare Manga Alternate Art PRB-01 English PSA 10 GEM!,799.95,"Sold  Apr 7, 2025",1,799.95,Single,Title,https://www.ebay.com/itm/176987758875
One Piece Box Set 4 Dressrosa To Reverie Volumes 71-90 English Manga,100.00,"Sold  Apr 7, 2025",21,4.76,Lot,Title,https://www.ebay.com/itm/405731897548
One Piece TCG English Zoro Deck w/ Alt Art Leader and Manga Art DON!,160.00,"Sold  Apr 7, 2025",2,80.00,Lot,Description,https://www.ebay.com/itm/356609672742
One Piece CCG Shanks OP01-120 SEC Manga Alternate Art PRB-01 English PSA 10 GEM!,649.50,"Sold  Apr 6, 2025",1,649.50,Single,Title,https://www.ebay.com/itm/176987741379
NEW One Piece Box Set 3: Thriller Bark to New World: Volumes 47-70 English Manga,112.50,"Sold  Apr 6, 2025",25,4.50,Lot,Title,https://www.ebay.com/itm/167414617009
"One Piece Manga Lot 1, 6-38, Gold Foil, lots of First Printing, English, Shonen",359.00,"Sold  Apr 6, 2025",34,10.56,Lot,Title,https://www.ebay.com/itm/135573574627
One Piece Paramount War OP02013 Portgas.D.Ace SR Manga Art  BGS 9.5 English,725.00,"Sold  Apr 6, 2025",2,362.50,Lot,Title,https://www.ebay.com/itm/277010123460
One Piece Vol 1 1st First Printing Edition Rare Manga English Volume Gold Foil,88.00,"Sold  Apr 5, 2025",1,88.00,Single,Title,https://www.ebay.com/itm/256830268270
"One Piece Eustass""Captain""Kid Manga Alt Art PRB01 OP05-074 PSA 10 ENGLISH",420.00,"Sold  Apr 4, 2025",1,420.00,Single,Title,https://www.ebay.com/itm/276931051305
One Piece Vol 23 Gold Foil Cover 1st First Printing Edition Manga English Volume,125.00,"Sold  Apr 4, 2025",1,125.00,Single,Title,https://www.ebay.com/itm/256882063875
One Piece Vol 23 Gold Foil Cover 1st First Printing Edition Manga English Volume,125.00,"Sold  Apr 4, 2025",1,125.00,Single,Title,https://www.ebay.com/itm/256878860747
Silvers Rayleigh - OP08 Manga Alt Art Two Legends One Piece PSA 10 English,500.00,"Sold  Apr 4, 2025",1,500.00,Single,Title,https://www.ebay.com/itm/326421566902
Eustass “Captain” Kid - OP05-074 SR Manga Alt Art - English - One Piece TCG,416.33,"Sold  Apr 4, 2025",1,416.33,Single,Description,https://www.ebay.com/itm/316484244287
2024 ONE PIECE OP04 SABO MANGA ALT ART PSA 10 GEM MT #083 ENGLISH F46,580.00,"Sold  Apr 3, 2025",2,290.00,Lot,Title,https://www.ebay.com/itm/276984617923
2024 ONE PIECE OP05 EUSTASS CAPTAIN KID MANGA ALT ART PSA 10 #074 ENGLISH F46,693.00,"Sold  Apr 3, 2025",2,346.50,Lot,Title,https://www.ebay.com/itm/276984616363
2024 ONE PIECE OP09 BUGGY MANGA ALT ART PSA 10 GEM MT #051 ENGLISH F46,635.00,"Sold  Apr 3, 2025",2,317.50,Lot,Title,https://www.ebay.com/itm/276984612910
2024 ONE PIECE PRB01 NAMI MANGA ALT ART PSA 10 GEM MT #016 ENGLISH F46,817.00,"Sold  Apr 3, 2025",2,408.50,Lot,Title,https://www.ebay.com/itm/276984611591
One Piece Manga Box Sets 1-4 Viz English,460.00,"Sold  Apr 3, 2025",4,115.00,Lot,Title,https://www.ebay.com/itm/405680018500
PSA 10 GEM One Piece Boa Hancock OP07-051 Manga English 500 Years In The Future,765.00,"Sold  Apr 3, 2025",1,765.00,Single,Title,https://www.ebay.com/itm/176978744454
"One Piece Eustass""Captain""Kid Manga Alternate Art PRB01 OP05-074 PSA 10 ENGLISH",415.00,"Sold  Apr 3, 2025",1,415.00,Single,Title,https://www.ebay.com/itm/116528041814
[PSA 10] Roronoa Zoro OP06-118 Wings of Captain Manga Alt Art English ONE PIECE,875.80,"Sold  Apr 3, 2025",1,875.80,Single,Title,https://www.ebay.com/itm/405492042147
One Piece Vol 1 1st First Printing Edition Rare Manga English Volume Gold Foil,150.00,"Sold  Apr 3, 2025",1,150.00,Single,Title,https://www.ebay.com/itm/335893605194
One Piece Shanks OP09-004 Manga Emperors in the New World OP09 English,712.14,"Sold  Apr 2, 2025",1,712.14,Single,Description,https://www.ebay.com/itm/396384398511
Eiichiro Oda - East Blue- One Piece- 5 to 8- English Manga Lot,17.95,"Sold  Apr 2, 2025",1,17.95,Single,Title,https://www.ebay.com/itm/205378034930
"Future Diary Manga Near Complete Set English 1-5,7-10 Anime Naruto One Piece",300.00,"Sold  Apr 2, 2025",9,33.33,Lot,Title,https://www.ebay.com/itm/267207246851
One Piece Vol. 22 by Eiichiro Oda English Manga Shonen Jump Free Shipping!,14.99,"Sold  Apr 2, 2025",1,14.99,Single,Title,https://www.ebay.com/itm/204198404629
One Piece Vol. 23 by Eiichiro Oda English Manga Shonen Jump Free Shipping!,14.99,"Sold  Apr 2, 2025",1,14.99,Single,Title,https://www.ebay.com/itm/204198423337
One Piece Box Set 3: Thriller Bark to New World: Volumes 47-70 English Manga,98.95,"Sold  Apr 2, 2025",25,3.96,Lot,Title,https://www.ebay.com/itm/316586959682
~ One Piece Treasure Cup 2024 Top 64 Prize Yamato OP01-121 English ~ Manga Luffy,11.88,"Sold  Apr 2, 2025",1,11.88,Single,Title,https://www.ebay.com/itm/135334284538
ENGLISH Marshall D. Teach MANGA OP09 Bgs 10 One Piece,147.00,"Sold  Apr 2, 2025",1,147.00,Single,Title,https://www.ebay.com/itm/286434702418
PSA 10 GEM One Piece Boa Hancock OP07-051 Manga English 500 Years In The Future,765.00,"Sold  Apr 1, 2025",1,765.00,Single,Title,https://www.ebay.com/itm/176950457229
"Trafalgar Law OP-10 Manga Rare One Piece TCG Near-Mint, English",400.00,"Sold  Apr 1, 2025",1,400.00,Single,Description,https://www.ebay.com/itm/116543067742
Boa Hancock Manga ALT One Piece 500 Years in the Future OP07-051 English New/NM,601.30,"Sold  Mar 31, 2025",4,150.32,Lot,Description,https://www.ebay.com/itm/226670999425
One Piece Volume 1 1st First Printing Edition Manga English Volume Gold Foil,79.98,"Sold  Mar 31, 2025",1,79.98,Single,Title,https://www.ebay.com/itm/167418252076
PSA 10 GEM MINT One Piece Portgas D. Ace Manga Alt Art OP02-013 PRB English,725.00,"Sold  Mar 31, 2025",1,725.00,Single,Title,https://www.ebay.com/itm/116528032306
PSA 10 One Piece TCG PRB Trafalgar Law OP05-069 Manga Rare English,640.00,"Sold  Mar 31, 2025",1,640.00,Single,Title,https://www.ebay.com/itm/176950438526
One Piece Volume 1 1st First Printing Edition Manga English Volume Gold Foil,79.98,"Sold  Mar 31, 2025",1,79.98,Single,Title,https://www.ebay.com/itm/167404628333
One Piece Volume 1 Second Print Edition Manga~English~Gold Foil~2003,49.99,"Sold  Mar 31, 2025",1,49.99,Single,Title,https://www.ebay.com/itm/316105482771
PSA 10 GEM MINT One Piece Portgas D. Ace Manga Alt Art OP02-013 PRB English,689.99,"Sold  Mar 31, 2025",1,689.99,Single,Title,https://www.ebay.com/itm/388136479458
One Piece Nami Manga Alt Art Rare OP01-016 The Best Premium English,530.00,"Sold  Mar 31, 2025",1,530.00,Single,Description,https://www.ebay.com/itm/276975398010
~ ONE PIECE Vinsmoke Reiju OP06-069 Flagship Battle Top 1 English ~ Manga Luffy,9.88,"Sold  Mar 31, 2025",1,9.88,Single,Title,https://www.ebay.com/itm/146145941524
